id,eventDate,number,prizeThirdNumber,prizeType,eventType,eventLetters,eventSerie,eventFolio
2011-03-23F,2011-03-23,462,6,F,Intermedio,BDCA,10,14
2011-03-23S,2011-03-23,7772,7,S,Intermedio,BDCA,10,14
2011-03-23T,2011-03-23,9777,7,T,Intermedio,BDCA,10,14
2011-03-27F,2011-03-27,5697,9,F,Dominical,CABD,8,2
2011-03-27S,2011-03-27,2918,1,S,Dominical,CABD,8,2
2011-03-27T,2011-03-27,7401,0,T,Dominical,CABD,8,2
2011-03-30F,2011-03-30,2431,3,F,Intermedio,ACAA,1,3
2011-03-30S,2011-03-30,6011,1,S,Intermedio,ACAA,1,3
2011-03-30T,2011-03-30,7837,3,T,Intermedio,ACAA,1,3
2011-04-01F,2011-04-01,3819,1,F,Zodiaco,BABA,1,19
2011-04-01S,2011-04-01,50,5,S,Zodiaco,BABA,1,19
2011-04-01T,2011-04-01,77,7,T,Zodiaco,BABA,1,19
2011-04-03F,2011-04-03,4032,3,F,Dominical,DDDB,16,2
2011-04-03S,2011-04-03,2528,2,S,Dominical,DDDB,16,2
2011-04-03T,2011-04-03,7895,9,T,Dominical,DDDB,16,2
2011-04-06F,2011-04-06,8933,3,F,Intermedio,DADD,4,14
2011-04-06S,2011-04-06,2026,2,S,Intermedio,DADD,4,14
2011-04-06T,2011-04-06,7437,3,T,Intermedio,DADD,4,14
2011-04-10F,2011-04-10,9358,5,F,Dominical,DACB,5,12
2011-04-10S,2011-04-10,2856,5,S,Dominical,DACB,5,12
2011-04-10T,2011-04-10,1781,8,T,Dominical,DACB,5,12
2011-04-13F,2011-04-13,3907,0,F,Intermedio,AABC,7,4
2011-04-13S,2011-04-13,2577,7,S,Intermedio,AABC,7,4
2011-04-13T,2011-04-13,6073,7,T,Intermedio,AABC,7,4
2011-04-17F,2011-04-17,73717,1,F,Extraordinaria,BBBC,1,2
2011-04-17S,2011-04-17,09958,5,S,Extraordinaria,BBBC,1,2
2011-04-17T,2011-04-17,45344,4,T,Extraordinaria,BBBC,1,2
2011-04-20F,2011-04-20,1297,9,F,Intermedio,ACCA,11,8
2011-04-20S,2011-04-20,5350,5,S,Intermedio,ACCA,11,8
2011-04-20T,2011-04-20,3402,0,T,Intermedio,ACCA,11,8
2011-04-25F,2011-04-25,3943,4,F,Dominical,CCCB,18,6
2011-04-25S,2011-04-25,4580,8,S,Dominical,CCCB,18,6
2011-04-25T,2011-04-25,7353,5,T,Dominical,CCCB,18,6
2011-04-28F,2011-04-28,3179,7,F,Intermedio,CDCA,3,13
2011-04-28S,2011-04-28,0001,0,S,Intermedio,CDCA,3,13
2011-04-28T,2011-04-28,3706,0,T,Intermedio,CDCA,3,13
2011-05-02F,2011-05-02,4395,9,F,Dominical,DACA,19,15
2011-05-02S,2011-05-02,1317,1,S,Dominical,DACA,19,15
2011-05-02T,2011-05-02,0514,1,T,Dominical,DACA,19,15
2011-05-05F,2011-05-05,5958,5,F,Intermedio,BABD,7,5
2011-05-05S,2011-05-05,6114,1,S,Intermedio,BABD,7,5
2011-05-05T,2011-05-05,8404,0,T,Intermedio,BABD,7,5
2011-05-08F,2011-05-08,1326,2,F,Dominical,DDBB,18,8
2011-05-08S,2011-05-08,2898,9,S,Dominical,DDBB,18,8
2011-05-08T,2011-05-08,3516,1,T,Dominical,DDBB,18,8
2011-05-11F,2011-05-11,3207,0,F,Intermedio,DCCC,3,8
2011-05-11S,2011-05-11,6106,0,S,Intermedio,DCCC,3,8
2011-05-11T,2011-05-11,7616,1,T,Intermedio,DCCC,3,8
2011-05-13F,2011-05-13,1117,1,F,Zodiaco,BBBB,4,15
2011-05-13S,2011-05-13,58,5,S,Zodiaco,BBBB,4,15
2011-05-13T,2011-05-13,73,7,T,Zodiaco,BBBB,4,15
2011-05-15F,2011-05-15,5217,1,F,Dominical,DDCD,1,14
2011-05-15S,2011-05-15,0072,7,S,Dominical,DDCD,1,14
2011-05-15T,2011-05-15,0643,4,T,Dominical,DDCD,1,14
2011-05-18F,2011-05-18,200,0,F,Intermedio,BAAB,14,13
2011-05-18S,2011-05-18,7935,3,S,Intermedio,BAAB,14,13
2011-05-18T,2011-05-18,8693,9,T,Intermedio,BAAB,14,13
2011-05-22F,2011-05-22,5201,0,F,Dominical,BCDC,7,12
2011-05-22S,2011-05-22,5187,8,S,Dominical,BCDC,7,12
2011-05-22T,2011-05-22,9877,7,T,Dominical,BCDC,7,12
2011-05-25F,2011-05-25,2788,8,F,Intermedio,BCCC,7,13
2011-05-25S,2011-05-25,3785,8,S,Intermedio,BCCC,7,13
2011-05-25T,2011-05-25,5541,4,T,Intermedio,BCCC,7,13
2011-05-29F,2011-05-29,2016,1,F,Dominical,DDDD,12,12
2011-05-29S,2011-05-29,8357,5,S,Dominical,DDDD,12,12
2011-05-29T,2011-05-29,2950,5,T,Dominical,DDDD,12,12
2011-06-01F,2011-06-01,8753,5,F,Intermedio,CDDA,8,3
2011-06-01S,2011-06-01,9309,0,S,Intermedio,CDDA,8,3
2011-06-01T,2011-06-01,5790,9,T,Intermedio,CDDA,8,3
2011-06-03F,2011-06-03,7783,8,F,Zodiaco,DBDA,5,11
2011-06-03S,2011-06-03,59,5,S,Zodiaco,DBDA,5,11
2011-06-03T,2011-06-03,66,6,T,Zodiaco,DBDA,5,11
2011-06-05F,2011-06-05,6821,2,F,Dominical,DCCB,15,7
2011-06-05S,2011-06-05,8076,7,S,Dominical,DCCB,15,7
2011-06-05T,2011-06-05,1960,6,T,Dominical,DCCB,15,7
2011-06-08F,2011-06-08,6092,9,F,Intermedio,BAAB,1,1
2011-06-08S,2011-06-08,4261,6,S,Intermedio,BAAB,1,1
2011-06-08T,2011-06-08,3281,8,T,Intermedio,BAAB,1,1
2011-06-12F,2011-06-12,7650,5,F,Dominical,DDDA,13,4
2011-06-12S,2011-06-12,6241,4,S,Dominical,DDDA,13,4
2011-06-12T,2011-06-12,7490,9,T,Dominical,DDDA,13,4
2011-06-15F,2011-06-15,2604,0,F,Intermedio,BCAC,7,6
2011-06-15S,2011-06-15,5941,4,S,Intermedio,BCAC,7,6
2011-06-15T,2011-06-15,3490,9,T,Intermedio,BCAC,7,6
2011-06-19F,2011-06-19,351,5,F,Dominical,DCAC,4,12
2011-06-19S,2011-06-19,5160,6,S,Dominical,DCAC,4,12
2011-06-19T,2011-06-19,7603,0,T,Dominical,DCAC,4,12
2011-06-22F,2011-06-22,2265,6,F,Intermedio,DCBB,1,10
2011-06-22S,2011-06-22,4976,7,S,Intermedio,DCBB,1,10
2011-06-22T,2011-06-22,2022,2,T,Intermedio,DCBB,1,10
2011-06-26F,2011-06-26,5407,0,F,Dominical,BCDC,2,3
2011-06-26S,2011-06-26,2961,6,S,Dominical,BCDC,2,3
2011-06-26T,2011-06-26,6047,4,T,Dominical,BCDC,2,3
2011-06-29F,2011-06-29,3216,1,F,Intermedio,ACAC,13,7
2011-06-29S,2011-06-29,2805,0,S,Intermedio,ACAC,13,7
2011-06-29T,2011-06-29,6602,0,T,Intermedio,ACAC,13,7
2011-07-01F,2011-07-01,753,5,F,Zodiaco,CACC,7,14
2011-07-01S,2011-07-01,48,4,S,Zodiaco,CACC,7,14
2011-07-01T,2011-07-01,00,0,T,Zodiaco,CACC,7,14
2011-07-03F,2011-07-03,4700,0,F,Dominical,ABBB,7,2
2011-07-03S,2011-07-03,9954,5,S,Dominical,ABBB,7,2
2011-07-03T,2011-07-03,5708,0,T,Dominical,ABBB,7,2
2011-07-06F,2011-07-06,2245,4,F,Intermedio,ADCC,5,10
2011-07-06S,2011-07-06,2643,4,S,Intermedio,ADCC,5,10
2011-07-06T,2011-07-06,6108,0,T,Intermedio,ADCC,5,10
2011-07-10F,2011-07-10,6078,7,F,Dominical,AAAC,17,9
2011-07-10S,2011-07-10,4264,6,S,Dominical,AAAC,17,9
2011-07-10T,2011-07-10,2877,7,T,Dominical,AAAC,17,9
2011-07-13F,2011-07-13,1394,9,F,Intermedio,DBCD,1,2
2011-07-13S,2011-07-13,8024,2,S,Intermedio,DBCD,1,2
2011-07-13T,2011-07-13,8538,3,T,Intermedio,DBCD,1,2
2011-07-17F,2011-07-17,1099,9,F,Dominical,ACAB,3,4
2011-07-17S,2011-07-17,7227,2,S,Dominical,ACAB,3,4
2011-07-17T,2011-07-17,7280,8,T,Dominical,ACAB,3,4
2011-07-20F,2011-07-20,1896,9,F,Intermedio,DBAC,12,10
2011-07-20S,2011-07-20,8244,4,S,Intermedio,DBAC,12,10
2011-07-20T,2011-07-20,6479,7,T,Intermedio,DBAC,12,10
2011-07-24F,2011-07-24,2219,1,F,Dominical,BDCA,5,1
2011-07-24S,2011-07-24,9003,0,S,Dominical,BDCA,5,1
2011-07-24T,2011-07-24,5921,2,T,Dominical,BDCA,5,1
2011-07-27F,2011-07-27,7731,3,F,Intermedio,CDDA,2,6
2011-07-27S,2011-07-27,3264,6,S,Intermedio,CDDA,2,6
2011-07-27T,2011-07-27,2649,4,T,Intermedio,CDDA,2,6
2011-07-31F,2011-07-31,2331,3,F,Dominical,AAAB,14,11
2011-07-31S,2011-07-31,1242,4,S,Dominical,AAAB,14,11
2011-07-31T,2011-07-31,9405,0,T,Dominical,AAAB,14,11
2011-08-03F,2011-08-03,6218,1,F,Intermedio,ADBD,11,5
2011-08-03S,2011-08-03,8738,3,S,Intermedio,ADBD,11,5
2011-08-03T,2011-08-03,3614,1,T,Intermedio,ADBD,11,5
2011-08-05F,2011-08-05,6639,3,F,Zodiaco,ADCC,3,18
2011-08-05S,2011-08-05,30,3,S,Zodiaco,ADCC,3,18
2011-08-05T,2011-08-05,99,9,T,Zodiaco,ADCC,3,18
2011-08-07F,2011-08-07,7259,5,F,Dominical,ABBB,1,6
2011-08-07S,2011-08-07,9087,8,S,Dominical,ABBB,1,6
2011-08-07T,2011-08-07,6291,9,T,Dominical,ABBB,1,6
2011-08-10F,2011-08-10,5865,6,F,Intermedio,DDCD,2,10
2011-08-10S,2011-08-10,5043,4,S,Intermedio,DDCD,2,10
2011-08-10T,2011-08-10,4977,7,T,Intermedio,DDCD,2,10
2011-08-14F,2011-08-14,18256,5,F,Extraordinaria,DACD,2,15
2011-08-14S,2011-08-14,16019,1,S,Extraordinaria,DACD,2,15
2011-08-14T,2011-08-14,46411,1,T,Extraordinaria,DACD,2,15
2011-08-17F,2011-08-17,6843,4,F,Intermedio,ABAC,15,10
2011-08-17S,2011-08-17,3869,6,S,Intermedio,ABAC,15,10
2011-08-17T,2011-08-17,8777,7,T,Intermedio,ABAC,15,10
2011-08-21F,2011-08-21,713,1,F,Dominical,CBBA,9,13
2011-08-21S,2011-08-21,1301,0,S,Dominical,CBBA,9,13
2011-08-21T,2011-08-21,6023,2,T,Dominical,CBBA,9,13
2011-08-24F,2011-08-24,1639,3,F,Intermedio,CCAD,14,3
2011-08-24S,2011-08-24,4678,7,S,Intermedio,CCAD,14,3
2011-08-24T,2011-08-24,9387,8,T,Intermedio,CCAD,14,3
2011-08-28F,2011-08-28,5655,5,F,Dominical,CABC,12,3
2011-08-28S,2011-08-28,8834,3,S,Dominical,CABC,12,3
2011-08-28T,2011-08-28,8610,1,T,Dominical,CABC,12,3
2011-08-31F,2011-08-31,5163,6,F,Intermedio,CBBA,13,4
2011-08-31S,2011-08-31,2848,4,S,Intermedio,CBBA,13,4
2011-08-31T,2011-08-31,8673,7,T,Intermedio,CBBA,13,4
2011-09-02F,2011-09-02,9468,6,F,Zodiaco,DDAB,3,14
2011-09-02S,2011-09-02,94,9,S,Zodiaco,DDAB,3,14
2011-09-02T,2011-09-02,82,8,T,Zodiaco,DDAB,3,14
2011-09-04F,2011-09-04,5725,2,F,Dominical,CCDC,17,5
2011-09-04S,2011-09-04,1944,4,S,Dominical,CCDC,17,5
2011-09-04T,2011-09-04,0161,6,T,Dominical,CCDC,17,5
2011-09-07F,2011-09-07,4490,9,F,Intermedio,ADBD,15,15
2011-09-07S,2011-09-07,2477,7,S,Intermedio,ADBD,15,15
2011-09-07T,2011-09-07,9198,9,T,Intermedio,ADBD,15,15
2011-09-11F,2011-09-11,9858,5,F,Dominical,ADCB,17,9
2011-09-11S,2011-09-11,6799,9,S,Dominical,ADCB,17,9
2011-09-11T,2011-09-11,2693,9,T,Dominical,ADCB,17,9
2011-09-14F,2011-09-14,568,6,F,Intermedio,ADAD,3,5
2011-09-14S,2011-09-14,7110,1,S,Intermedio,ADAD,3,5
2011-09-14T,2011-09-14,6324,2,T,Intermedio,ADAD,3,5
2011-09-18F,2011-09-18,5056,5,F,Dominical,DBBD,6,5
2011-09-18S,2011-09-18,8951,5,S,Dominical,DBBD,6,5
2011-09-18T,2011-09-18,0859,5,T,Dominical,DBBD,6,5
2011-09-21F,2011-09-21,3853,5,F,Intermedio,BBBA,3,9
2011-09-21S,2011-09-21,8706,0,S,Intermedio,BBBA,3,9
2011-09-21T,2011-09-21,6732,3,T,Intermedio,BBBA,3,9
2011-09-25F,2011-09-25,8523,2,F,Dominical,CCBA,14,15
2011-09-25S,2011-09-25,2132,3,S,Dominical,CCBA,14,15
2011-09-25T,2011-09-25,7640,4,T,Dominical,CCBA,14,15
2011-09-28F,2011-09-28,493,9,F,Intermedio,BADD,8,7
2011-09-28S,2011-09-28,0166,6,S,Intermedio,BADD,8,7
2011-09-28T,2011-09-28,5880,8,T,Intermedio,BADD,8,7
2011-09-30F,2011-09-30,5987,8,F,Zodiaco,AABB,8,25
2011-09-30S,2011-09-30,01,0,S,Zodiaco,AABB,8,25
2011-09-30T,2011-09-30,75,7,T,Zodiaco,AABB,8,25
2011-10-02F,2011-10-02,6924,2,F,Dominical,BDAA,16,10
2011-10-02S,2011-10-02,7972,7,S,Dominical,BDAA,16,10
2011-10-02T,2011-10-02,8347,4,T,Dominical,BDAA,16,10
2011-10-05F,2011-10-05,84,8,F,Intermedio,DDAB,6,6
2011-10-05S,2011-10-05,3936,3,S,Intermedio,DDAB,6,6
2011-10-05T,2011-10-05,0540,4,T,Intermedio,DDAB,6,6
2011-10-09F,2011-10-09,8677,7,F,Dominical,BACA,18,14
2011-10-09S,2011-10-09,0381,8,S,Dominical,BACA,18,14
2011-10-09T,2011-10-09,1662,6,T,Dominical,BACA,18,14
2011-10-12F,2011-10-12,3011,1,F,Intermedio,BDDA,6,13
2011-10-12S,2011-10-12,6645,4,S,Intermedio,BDDA,6,13
2011-10-12T,2011-10-12,8894,9,T,Intermedio,BDDA,6,13
2011-10-16F,2011-10-16,8763,6,F,Dominical,BDDA,3,2
2011-10-16S,2011-10-16,7423,2,S,Dominical,BDDA,3,2
2011-10-16T,2011-10-16,4895,9,T,Dominical,BDDA,3,2
2011-10-19F,2011-10-19,3007,0,F,Intermedio,CBBA,3,15
2011-10-19S,2011-10-19,2569,6,S,Intermedio,CBBA,3,15
2011-10-19T,2011-10-19,4586,8,T,Intermedio,CBBA,3,15
2011-10-23F,2011-10-23,2513,1,F,Dominical,AAAA,5,3
2011-10-23S,2011-10-23,5344,4,S,Dominical,AAAA,5,3
2011-10-23T,2011-10-23,1857,5,T,Dominical,AAAA,5,3
2011-10-26F,2011-10-26,4291,9,F,Intermedio,CBAB,10,15
