id,eventDate,number,prizeThirdNumber,prizeType,eventType,eventLetters,eventSerie,eventFolio
2012-02-01F,2012-02-01,8060,6,F,Intermedio,ACAB,14,7
2012-02-01S,2012-02-01,2008,0,S,Intermedio,ACAB,14,7
2012-02-01T,2012-02-01,3194,9,T,Intermedio,ACAB,14,7
2012-02-05F,2012-02-05,4146,4,F,Dominical,ACCB,8,5
2012-02-05S,2012-02-05,8211,1,S,Dominical,ACCB,8,5
2012-02-05T,2012-02-05,4943,4,T,Dominical,ACCB,8,5
2012-02-08F,2012-02-08,1640,4,F,Intermedio,BDBC,2,6
2012-02-08S,2012-02-08,7300,0,S,Intermedio,BDBC,2,6
2012-02-08T,2012-02-08,9264,6,T,Intermedio,BDBC,2,6
2012-02-12F,2012-02-12,4715,1,F,Dominical,bdad,1,15
2012-02-12S,2012-02-12,4165,6,S,Dominical,bdad,1,15
2012-02-12T,2012-02-12,3733,3,T,Dominical,bdad,1,15
2012-02-15F,2012-02-15,3141,4,F,Intermedio,CDAB,6,15
2012-02-15S,2012-02-15,7394,9,S,Intermedio,CDAB,6,15
2012-02-15T,2012-02-15,0552,5,T,Intermedio,CDAB,6,15
2012-02-18F,2012-02-18,6586,8,F,Dominical,AABD,14,5
2012-02-18S,2012-02-18,4220,2,S,Dominical,AABD,14,5
2012-02-18T,2012-02-18,8284,8,T,Dominical,AABD,14,5
2012-02-23F,2012-02-23,4014,1,F,Intermedio,BDDD,3,12
2012-02-23S,2012-02-23,7909,0,S,Intermedio,BDDD,3,12
2012-02-23T,2012-02-23,4463,6,T,Intermedio,BDDD,3,12
2012-02-26F,2012-02-26,3422,2,F,Dominical,DDBC,3,12
2012-02-26S,2012-02-26,4120,2,S,Dominical,DDBC,3,12
2012-02-26T,2012-02-26,6540,4,T,Dominical,DDBC,3,12
2012-02-29F,2012-02-29,7057,5,F,Intermedio,BACD,12,1
2012-02-29S,2012-02-29,1360,6,S,Intermedio,BACD,12,1
2012-02-29T,2012-02-29,4188,8,T,Intermedio,BACD,12,1
2012-03-02F,2012-03-02,8890,9,F,Zodiaco,CDCC,5,7
2012-03-02S,2012-03-02,81,8,S,Zodiaco,CDCC,5,7
2012-03-02T,2012-03-02,81,8,T,Zodiaco,CDCC,5,7
2012-03-04F,2012-03-04,8058,5,F,Dominical,BCCC,17,2
2012-03-04S,2012-03-04,8957,5,S,Dominical,BCCC,17,2
2012-03-04T,2012-03-04,5974,7,T,Dominical,BCCC,17,2
2012-03-07F,2012-03-07,6682,8,F,Intermedio,BDBC,15,11
2012-03-07S,2012-03-07,2601,0,S,Intermedio,BDBC,15,11
2012-03-07T,2012-03-07,7190,9,T,Intermedio,BDBC,15,11
2012-03-11F,2012-03-11,6657,5,F,Dominical,DBDC,10,13
2012-03-11S,2012-03-11,6603,0,S,Dominical,DBDC,10,13
2012-03-11T,2012-03-11,6162,6,T,Dominical,DBDC,10,13
2012-03-14F,2012-03-14,9285,8,F,Intermedio,DCBC,7,10
2012-03-14S,2012-03-14,9039,3,S,Intermedio,DCBC,7,10
2012-03-14T,2012-03-14,9675,7,T,Intermedio,DCBC,7,10
2012-03-18F,2012-03-18,9356,5,F,Dominical,ACDD,11,14
2012-03-18S,2012-03-18,9777,7,S,Dominical,ACDD,11,14
2012-03-18T,2012-03-18,2951,5,T,Dominical,ACDD,11,14
2012-03-21F,2012-03-21,1980,8,F,Intermedio,DABB,13,6
2012-03-21S,2012-03-21,1217,1,S,Intermedio,DABB,13,6
2012-03-21T,2012-03-21,3310,1,T,Intermedio,DABB,13,6
2012-03-25F,2012-03-25,4867,6,F,Dominical,CCCC,15,2
2012-03-25S,2012-03-25,3970,7,S,Dominical,CCCC,15,2
2012-03-25T,2012-03-25,5076,7,T,Dominical,CCCC,15,2
2012-03-28F,2012-03-28,9196,9,F,Intermedio,BBAC,15,2
2012-03-28S,2012-03-28,2944,4,S,Intermedio,BBAC,15,2
2012-03-28T,2012-03-28,4884,8,T,Intermedio,BBAC,15,2
2012-03-30F,2012-03-30,5144,4,F,Zodiaco,BBCA,8,7
2012-03-30S,2012-03-30,29,2,S,Zodiaco,BBCA,8,7
2012-03-30T,2012-03-30,39,3,T,Zodiaco,BBCA,8,7
2012-04-01F,2012-04-01,7213,1,F,Dominical,ABDD,7,9
2012-04-01S,2012-04-01,0212,1,S,Dominical,ABDD,7,9
2012-04-01T,2012-04-01,4397,9,T,Dominical,ABDD,7,9
2012-04-04F,2012-04-04,4257,5,F,Intermedio,ABBA,1,15
2012-04-04S,2012-04-04,5370,7,S,Intermedio,ABBA,1,15
2012-04-04T,2012-04-04,5730,3,T,Intermedio,ABBA,1,15
2012-04-09F,2012-04-09,5095,9,F,Dominical,CCAC,7,12
2012-04-09S,2012-04-09,4841,4,S,Dominical,CCAC,7,12
2012-04-09T,2012-04-09,8196,9,T,Dominical,CCAC,7,12
2012-04-11F,2012-04-11,2539,3,F,Intermedio,BBAA,8,15
2012-04-11S,2012-04-11,2792,9,S,Intermedio,BBAA,8,15
2012-04-11T,2012-04-11,1826,2,T,Intermedio,BBAA,8,15
2012-04-15F,2012-04-15,52083,8,F,Extraordinaria,BCDD,2,10
2012-04-15S,2012-04-15,78520,2,S,Extraordinaria,BCDD,2,10
2012-04-15T,2012-04-15,34251,5,T,Extraordinaria,BCDD,2,10
2012-04-18F,2012-04-18,3193,9,F,Intermedio,BCDB,14,7
2012-04-18S,2012-04-18,4049,4,S,Intermedio,BCDB,14,7
2012-04-18T,2012-04-18,8854,5,T,Intermedio,BCDB,14,7
2012-04-22F,2012-04-22,89,8,F,Dominical,AABB,5,1
2012-04-22S,2012-04-22,0893,9,S,Dominical,AABB,5,1
2012-04-22T,2012-04-22,2093,9,T,Dominical,AABB,5,1
2012-04-25F,2012-04-25,8683,8,F,Intermedio,CBDC,3,11
2012-04-25S,2012-04-25,1730,3,S,Intermedio,CBDC,3,11
2012-04-25T,2012-04-25,5976,7,T,Intermedio,CBDC,3,11
2012-04-29F,2012-04-29,9805,0,F,Dominical,DCBA,11,13
2012-04-29S,2012-04-29,1482,8,S,Dominical,DCBA,11,13
2012-04-29T,2012-04-29,1495,9,T,Dominical,DCBA,11,13
2012-05-02F,2012-05-02,9924,2,F,Intermedio,CBCB,11,15
2012-05-02S,2012-05-02,4643,4,S,Intermedio,CBCB,11,15
2012-05-02T,2012-05-02,4672,7,T,Intermedio,CBCB,11,15
2012-05-06F,2012-05-06,1418,1,F,Dominical,AABA,17,5
2012-05-06S,2012-05-06,3254,5,S,Dominical,AABA,17,5
2012-05-06T,2012-05-06,9721,2,T,Dominical,AABA,17,5
2012-05-10F,2012-05-10,9576,7,F,Intermedio,DDBC,7,10
2012-05-10S,2012-05-10,4623,2,S,Intermedio,DDBC,7,10
2012-05-10T,2012-05-10,5741,4,T,Intermedio,DDBC,7,10
2012-05-13F,2012-05-13,9326,2,F,Dominical,CACC,1,14
2012-05-13S,2012-05-13,9083,8,S,Dominical,CACC,1,14
2012-05-13T,2012-05-13,6105,0,T,Dominical,CACC,1,14
2012-05-16F,2012-05-16,999,9,F,Intermedio,CACB,11,6
2012-05-16S,2012-05-16,5405,0,S,Intermedio,CACB,11,6
2012-05-16T,2012-05-16,4350,5,T,Intermedio,CACB,11,6
2012-05-20F,2012-05-20,5886,8,F,Dominical,DDDA,11,5
2012-05-20S,2012-05-20,4557,5,S,Dominical,DDDA,11,5
2012-05-20T,2012-05-20,8925,2,T,Dominical,DDDA,11,5
2012-05-23F,2012-05-23,7246,4,F,Intermedio,CBDD,14,2
2012-05-23S,2012-05-23,0419,1,S,Intermedio,CBDD,14,2
2012-05-23T,2012-05-23,6767,6,T,Intermedio,CBDD,14,2
2012-05-27F,2012-05-27,31,3,F,Dominical,AAAD,9,1
2012-05-27S,2012-05-27,6967,6,S,Dominical,AAAD,9,1
2012-05-27T,2012-05-27,7972,7,T,Dominical,AAAD,9,1
2012-05-30F,2012-05-30,3277,7,F,Intermedio,BACC,3,13
2012-05-30S,2012-05-30,5379,7,S,Intermedio,BACC,3,13
2012-05-30T,2012-05-30,5054,5,T,Intermedio,BACC,3,13
2012-06-03F,2012-06-03,5580,8,F,Dominical,BBBB,5,14
2012-06-03S,2012-06-03,9323,2,S,Dominical,BBBB,5,14
2012-06-03T,2012-06-03,9437,3,T,Dominical,BBBB,5,14
2012-06-06F,2012-06-06,1233,3,F,Intermedio,BCCA,6,6
2012-06-06S,2012-06-06,3467,6,S,Intermedio,BCCA,6,6
2012-06-06T,2012-06-06,0277,7,T,Intermedio,BCCA,6,6
2012-06-10F,2012-06-10,3668,6,F,Dominical,ADDA,16,4
2012-06-10S,2012-06-10,5060,6,S,Dominical,ADDA,16,4
2012-06-10T,2012-06-10,2074,7,T,Dominical,ADDA,16,4
2012-06-13F,2012-06-13,7460,6,F,Intermedio,BBBA,11,3
2012-06-13S,2012-06-13,4951,5,S,Intermedio,BBBA,11,3
2012-06-13T,2012-06-13,9201,0,T,Intermedio,BBBA,11,3
2012-06-17F,2012-06-17,6311,1,F,Dominical,AACB,4,2
2012-06-17S,2012-06-17,2033,3,S,Dominical,AACB,4,2
2012-06-17T,2012-06-17,3326,2,T,Dominical,AACB,4,2
2012-06-20F,2012-06-20,8094,9,F,Intermedio,BABD,5,12
2012-06-20S,2012-06-20,8529,2,S,Intermedio,BABD,5,12
2012-06-20T,2012-06-20,1114,1,T,Intermedio,BABD,5,12
2012-06-24F,2012-06-24,4570,7,F,Dominical,CDCC,1,8
2012-06-24S,2012-06-24,6643,4,S,Dominical,CDCC,1,8
2012-06-24T,2012-06-24,3327,2,T,Dominical,CDCC,1,8
2012-06-27F,2012-06-27,3932,3,F,Intermedio,BCBC,13,3
2012-06-27S,2012-06-27,4547,4,S,Intermedio,BCBC,13,3
2012-06-27T,2012-06-27,2958,5,T,Intermedio,BCBC,13,3
2012-07-01F,2012-07-01,3142,4,F,Dominical,BBAD,11,4
2012-07-01S,2012-07-01,5351,5,S,Dominical,BBAD,11,4
2012-07-01T,2012-07-01,4502,0,T,Dominical,BBAD,11,4
2012-07-04F,2012-07-04,9355,5,F,Intermedio,CBBD,12,9
2012-07-04S,2012-07-04,9537,3,S,Intermedio,CBBD,12,9
2012-07-04T,2012-07-04,7863,6,T,Intermedio,CBBD,12,9
2012-07-08F,2012-07-08,4887,8,F,Dominical,DDCA,8,10
2012-07-08S,2012-07-08,1167,6,S,Dominical,DDCA,8,10
2012-07-08T,2012-07-08,3605,0,T,Dominical,DDCA,8,10
2012-07-11F,2012-07-11,8725,2,F,Intermedio,BDAB,5,2
2012-07-11S,2012-07-11,3230,3,S,Intermedio,BDAB,5,2
2012-07-11T,2012-07-11,7074,7,T,Intermedio,BDAB,5,2
2012-07-15F,2012-07-15,8630,3,F,Dominical,BCDB,16,8
2012-07-15S,2012-07-15,7941,4,S,Dominical,BCDB,16,8
2012-07-15T,2012-07-15,7222,2,T,Dominical,BCDB,16,8
2012-07-18F,2012-07-18,3698,9,F,Intermedio,DDBB,11,4
2012-07-18S,2012-07-18,7735,3,S,Intermedio,DDBB,11,4
2012-07-18T,2012-07-18,1553,5,T,Intermedio,DDBB,11,4
2012-07-23F,2012-07-23,2938,3,F,Dominical,BCCB,14,4
2012-07-23S,2012-07-23,3334,3,S,Dominical,BCCB,14,4
2012-07-23T,2012-07-23,8003,0,T,Dominical,BCCB,14,4
2012-07-25F,2012-07-25,7379,7,F,Intermedio,DDCA,13,14
2012-07-25S,2012-07-25,7388,8,S,Intermedio,DDCA,13,14
2012-07-25T,2012-07-25,9797,9,T,Intermedio,DDCA,13,14
2012-07-29F,2012-07-29,8414,1,F,Dominical,CDAC,16,7
2012-07-29S,2012-07-29,9757,5,S,Dominical,CDAC,16,7
2012-07-29T,2012-07-29,5723,2,T,Dominical,CDAC,16,7
2012-08-01F,2012-08-01,1090,9,F,Intermedio,BADD,1,4
2012-08-01S,2012-08-01,2610,1,S,Intermedio,BADD,1,4
2012-08-01T,2012-08-01,9695,9,T,Intermedio,BADD,1,4
2012-08-05F,2012-08-05,2803,0,F,Dominical,BADB,15,1
2012-08-05S,2012-08-05,5900,0,S,Dominical,BADB,15,1
2012-08-05T,2012-08-05,5317,1,T,Dominical,BADB,15,1
2012-08-08F,2012-08-08,8174,7,F,Intermedio,BBAD,10,6
2012-08-08S,2012-08-08,9720,2,S,Intermedio,BBAD,10,6
2012-08-08T,2012-08-08,6561,6,T,Intermedio,BBAD,10,6
2012-08-12F,2012-08-12,9150,5,F,Dominical,CDAC,11,9
2012-08-12S,2012-08-12,5776,7,S,Dominical,CDAC,11,9
2012-08-12T,2012-08-12,6572,7,T,Dominical,CDAC,11,9
2012-08-15F,2012-08-15,1048,4,F,Intermedio,CCAA,1,3
2012-08-15S,2012-08-15,9066,6,S,Intermedio,CCAA,1,3
2012-08-15T,2012-08-15,5112,1,T,Intermedio,CCAA,1,3
2012-08-19F,2012-08-19,2806,0,F,Extraordinaria,CDAA,2,2
2012-08-19S,2012-08-19,13887,8,S,Extraordinaria,CDAA,2,2
2012-08-19T,2012-08-19,66701,0,T,Extraordinaria,CDAA,2,2
2012-08-22F,2012-08-22,3730,3,F,Intermedio,DDDD,6,2
2012-08-22S,2012-08-22,2392,9,S,Intermedio,DDDD,6,2
2012-08-22T,2012-08-22,0197,9,T,Intermedio,DDDD,6,2
2012-08-26F,2012-08-26,8027,2,F,Dominical,BBBD,1,9
2012-08-26S,2012-08-26,1757,5,S,Dominical,BBBD,1,9
2012-08-26T,2012-08-26,0234,3,T,Dominical,BBBD,1,9
2012-08-29F,2012-08-29,9523,2,F,Intermedio,BBBB,8,5
2012-08-29S,2012-08-29,4501,0,S,Intermedio,BBBB,8,5
2012-08-29T,2012-08-29,0743,4,T,Intermedio,BBBB,8,5
2012-09-02F,2012-09-02,9652,5,F,Dominical,DCBD,17,10
2012-09-02S,2012-09-02,9704,0,S,Dominical,DCBD,17,10
2012-09-02T,2012-09-02,3725,2,T,Dominical,DCBD,17,10
2012-09-05F,2012-09-05,3129,2,F,Intermedio,BDCC,3,1
2012-09-05S,2012-09-05,5233,3,S,Intermedio,BDCC,3,1
2012-09-05T,2012-09-05,0468,6,T,Intermedio,BDCC,3,1
2012-09-09F,2012-09-09,3449,4,F,Dominical,CADD,12,8
2012-09-09S,2012-09-09,5184,8,S,Dominical,CADD,12,8
2012-09-09T,2012-09-09,8007,0,T,Dominical,CADD,12,8
2012-09-12F,2012-09-12,2941,4,F,Intermedio,BBBA,7,9
2012-09-12S,2012-09-12,2777,7,S,Intermedio,BBBA,7,9
2012-09-12T,2012-09-12,9549,4,T,Intermedio,BBBA,7,9
2012-09-16F,2012-09-16,8042,4,F,Dominical,BCBC,4,14
2012-09-16S,2012-09-16,4107,0,S,Dominical,BCBC,4,14
2012-09-16T,2012-09-16,1407,0,T,Dominical,BCBC,4,14
2012-09-19F,2012-09-19,6011,1,F,Intermedio,BDAA,3,12
2012-09-19S,2012-09-19,4343,4,S,Intermedio,BDAA,3,12
2012-09-19T,2012-09-19,0189,8,T,Intermedio,BDAA,3,12
2012-09-23F,2012-09-23,6876,7,F,Dominical,DBDD,9,4
2012-09-23S,2012-09-23,5191,9,S,Dominical,DBDD,9,4
2012-09-23T,2012-09-23,0765,6,T,Dominical,DBDD,9,4
2012-09-26F,2012-09-26,4305,0,F,Intermedio,BCDB,3,10
2012-09-26S,2012-09-26,5737,3,S,Intermedio,BCDB,3,10
2012-09-26T,2012-09-26,1017,1,T,Intermedio,BCDB,3,10
2012-09-28F,2012-09-28,8630,3,F,Zodiaco,BABB,8,18
2012-09-28S,2012-09-28,96,9,S,Zodiaco,BABB,8,18
2012-09-28T,2012-09-28,24,2,T,Zodiaco,BABB,8,18
2012-09-30F,2012-09-30,2738,3,F,Dominical,DCDA,5,5
2012-09-30S,2012-09-30,2878,7,S,Dominical,DCDA,5,5
2012-09-30T,2012-09-30,7567,6,T,Dominical,DCDA,5,5
2012-10-03F,2012-10-03,995,9,F,Intermedio,DACB,1,13
2012-10-03S,2012-10-03,1193,9,S,Intermedio,DACB,1,13
2012-10-03T,2012-10-03,4010,1,T,Intermedio,DACB,1,13
2012-10-07F,2012-10-07,4375,7,F,Dominical,ADAD,16,8
2012-10-07S,2012-10-07,4902,0,S,Dominical,ADAD,16,8
2012-10-07T,2012-10-07,8731,3,T,Dominical,ADAD,16,8
2012-10-10F,2012-10-10,4808,0,F,Intermedio,DCDC,7,6
2012-10-10S,2012-10-10,0329,2,S,Intermedio,DCDC,7,6
2012-10-10T,2012-10-10,2285,8,T,Intermedio,DCDC,7,6
2012-10-14F,2012-10-14,3587,8,F,Dominical,DBCB,1,15
2012-10-14S,2012-10-14,9526,2,S,Dominical,DBCB,1,15
2012-10-14T,2012-10-14,7385,8,T,Dominical,DBCB,1,15
2012-10-17F,2012-10-17,6374,7,F,Intermedio,ACBA,15,11
2012-10-17S,2012-10-17,6735,3,S,Intermedio,ACBA,15,11
2012-10-17T,2012-10-17,8829,2,T,Intermedio,ACBA,15,11
2012-10-21F,2012-10-21,8418,1,F,Dominical,ACCD,11,6
2012-10-21S,2012-10-21,0307,0,S,Dominical,ACCD,11,6
2012-10-21T,2012-10-21,8390,9,T,Dominical,ACCD,11,6
2012-10-24F,2012-10-24,422,2,F,Intermedio,CDBB,7,6
2012-10-24S,2012-10-24,3890,9,S,Intermedio,CDBB,7,6
2012-10-24T,2012-10-24,6415,1,T,Intermedio,CDBB,7,6
2012-10-26F,2012-10-26,1727,2,F,Zodiaco,BAAC,1,1
2012-10-26S,2012-10-26,63,6,S,Zodiaco,BAAC,1,1
2012-10-26T,2012-10-26,99,9,T,Zodiaco,BAAC,1,1
2012-10-28F,2012-10-28,7886,8,F,Dominical,CBCB,15,2
2012-10-28S,2012-10-28,0110,1,S,Dominical,CBCB,15,2
2012-10-28T,2012-10-28,8909,0,T,Dominical,CBCB,15,2
2012-10-31F,2012-10-31,8013,1,F,Intermedio,CDAC,6,3
2012-10-31S,2012-10-31,0228,2,S,Intermedio,CDAC,6,3
2012-10-31T,2012-10-31,9178,7,T,Intermedio,CDAC,6,3
2012-11-04F,2012-11-04,1728,2,F,Dominical,DCCB,3,2
2012-11-04S,2012-11-04,2569,6,S,Dominical,DCCB,3,2
2012-11-04T,2012-11-04,0983,8,T,Dominical,DCCB,3,2
2012-11-07F,2012-11-07,3240,4,F,Intermedio,BCDC,4,15
2012-11-07S,2012-11-07,4566,6,S,Intermedio,BCDC,4,15
2012-11-07T,2012-11-07,2422,2,T,Intermedio,BCDC,4,15
2012-11-11F,2012-11-11,4366,6,F,Dominical,BCAC,4,2
2012-11-11S,2012-11-11,6776,7,S,Dominical,BCAC,4,2
2012-11-11T,2012-11-11,3734,3,T,Dominical,BCAC,4,2
2012-11-14F,2012-11-14,8326,2,F,Intermedio,CDCC,6,12
2012-11-14S,2012-11-14,6115,1,S,Intermedio,CDCC,6,12
2012-11-14T,2012-11-14,0535,3,T,Intermedio,CDCC,6,12
2012-11-16F,2012-11-16,5052,5,F,Zodiaco,DBAA,8,23
2012-11-16S,2012-11-16,82,8,S,Zodiaco,DBAA,8,23
2012-11-16T,2012-11-16,95,9,T,Zodiaco,DBAA,8,23
2012-11-18F,2012-11-18,6369,6,F,Dominical,BDAA,18,15
2012-11-18S,2012-11-18,7355,5,S,Dominical,BDAA,18,15
2012-11-18T,2012-11-18,8924,2,T,Dominical,BDAA,18,15
2012-11-21F,2012-11-21,7821,2,F,Intermedio,CDBC,13,11
2012-11-21S,2012-11-21,7172,7,S,Intermedio,CDBC,13,11
2012-11-21T,2012-11-21,6409,0,T,Intermedio,CDBC,13,11
2012-11-25F,2012-11-25,6253,5,F,Dominical,DDAD,20,9
2012-11-25S,2012-11-25,2892,9,S,Dominical,DDAD,20,9
2012-11-25T,2012-11-25,5889,8,T,Dominical,DDAD,20,9
2012-11-29F,2012-11-29,4640,4,F,Intermedio,DADC,12,14
2012-11-29S,2012-11-29,7998,9,S,Intermedio,DADC,12,14
2012-11-29T,2012-11-29,8425,2,T,Intermedio,DADC,12,14
2012-12-02F,2012-12-02,4547,4,F,Dominical,DADA,10,1
2012-12-02S,2012-12-02,5171,7,S,Dominical,DADA,10,1
2012-12-02T,2012-12-02,3617,1,T,Dominical,DADA,10,1
2012-12-05F,2012-12-05,3960,6,F,Intermedio,ACCD,6,13
2012-12-05S,2012-12-05,3621,2,S,Intermedio,ACCD,6,13
2012-12-05T,2012-12-05,5402,0,T,Intermedio,ACCD,6,13
2012-12-09F,2012-12-09,5840,4,F,Dominical,ACAA,12,8
2012-12-09S,2012-12-09,7424,2,S,Dominical,ACAA,12,8
2012-12-09T,2012-12-09,0921,2,T,Dominical,ACAA,12,8
2012-12-12F,2012-12-12,6289,8,F,Intermedio,CBBA,13,10
2012-12-12S,2012-12-12,4894,9,S,Intermedio,CBBA,13,10
2012-12-12T,2012-12-12,9463,6,T,Intermedio,CBBA,13,10
2012-12-16F,2012-12-16,92895,9,F,Extraordinaria,ADCB,1,17
2012-12-16S,2012-12-16,95454,5,S,Extraordinaria,ADCB,1,17
2012-12-16T,2012-12-16,86562,6,T,Extraordinaria,ADCB,1,17
2012-12-19F,2012-12-19,1914,1,F,Intermedio,CABA,14,12
2012-12-19S,2012-12-19,5954,5,S,Intermedio,CABA,14,12
2012-12-19T,2012-12-19,9960,6,T,Intermedio,CABA,14,12
2012-12-23F,2012-12-23,1733,3,F,Dominical,CACB,18,13
2012-12-23S,2012-12-23,0759,5,S,Dominical,CACB,18,13
2012-12-23T,2012-12-23,7277,7,T,Dominical,CACB,18,13
2012-12-26F,2012-12-26,231,3,F,Intermedio,CABD,10,11
2012-12-26S,2012-12-26,2084,8,S,Intermedio,CABD,10,11
2012-12-26T,2012-12-26,4722,2,T,Intermedio,CABD,10,11
2012-12-28F,2012-12-28,3433,3,F,Zodiaco,DDBA,3,16
2012-12-28S,2012-12-28,60,6,S,Zodiaco,DDBA,3,16
2012-12-28T,2012-12-28,62,6,T,Zodiaco,DDBA,3,16
2012-12-30F,2012-12-30,9861,6,F,Dominical,CADA,1,12
2012-12-30S,2012-12-30,5470,7,S,Dominical,CADA,1,12
2012-12-30T,2012-12-30,8710,1,T,Dominical,CADA,1,12
2013-01-03F,2013-01-03,4016,1,F,Intermedio,BCDD,12,13
2013-01-03S,2013-01-03,5619,1,S,Intermedio,BCDD,12,13
2013-01-03T,2013-01-03,8134,3,T,Intermedio,BCDD,12,13
2013-01-06F,2013-01-06,9753,5,F,Dominical,DDCC,14,4
2013-01-06S,2013-01-06,9782,8,S,Dominical,DDCC,14,4
2013-01-06T,2013-01-06,3224,2,T,Dominical,DDCC,14,4
2013-01-10F,2013-01-10,2424,2,F,Intermedio,ABCC,10,7
2013-01-10S,2013-01-10,2058,5,S,Intermedio,ABCC,10,7
2013-01-10T,2013-01-10,0838,3,T,Intermedio,ABCC,10,7
2013-01-13F,2013-01-13,5733,3,F,Dominical,DAAC,7,1
2013-01-13S,2013-01-13,2735,3,S,Dominical,DAAC,7,1
2013-01-13T,2013-01-13,1483,8,T,Dominical,DAAC,7,1
2013-01-16F,2013-01-16,6838,3,F,Intermedio,CCBD,1,13
2013-01-16S,2013-01-16,1854,5,S,Intermedio,CCBD,1,13
2013-01-16T,2013-01-16,6553,5,T,Intermedio,CCBD,1,13
2013-01-20F,2013-01-20,2610,1,F,Dominical,BCBA,5,11
2013-01-20S,2013-01-20,2057,5,S,Dominical,BCBA,5,11
2013-01-20T,2013-01-20,9630,3,T,Dominical,BCBA,5,11
2013-01-23F,2013-01-23,4901,0,F,Intermedio,ABAA,2,1
2013-01-23S,2013-01-23,7597,9,S,Intermedio,ABAA,2,1
2013-01-23T,2013-01-23,7962,6,T,Intermedio,ABAA,2,1
2013-01-27F,2013-01-27,8566,6,F,Dominical,DBDC,13,9
2013-01-27S,2013-01-27,5292,9,S,Dominical,DBDC,13,9
2013-01-27T,2013-01-27,3298,9,T,Dominical,DBDC,13,9
2013-01-30F,2013-01-30,91,9,F,Intermedio,ACCC,9,9
2013-01-30S,2013-01-30,7412,1,S,Intermedio,ACCC,9,9
2013-01-30T,2013-01-30,7645,4,T,Intermedio,ACCC,9,9
2013-02-01F,2013-02-01,4216,1,F,Zodiaco,DADC,9,20
2013-02-01S,2013-02-01,89,8,S,Zodiaco,DADC,9,20
2013-02-01T,2013-02-01,85,8,T,Zodiaco,DADC,9,20
2013-02-03F,2013-02-03,916,1,F,Dominical,BDDB,2,2
2013-02-03S,2013-02-03,7111,1,S,Dominical,BDDB,2,2
2013-02-03T,2013-02-03,5305,0,T,Dominical,BDDB,2,2
2013-02-06F,2013-02-06,2433,3,F,Intermedio,AACB,8,13
2013-02-06S,2013-02-06,4408,0,S,Intermedio,AACB,8,13
2013-02-06T,2013-02-06,6745,4,T,Intermedio,AACB,8,13
2013-02-09F,2013-02-09,8638,3,F,Dominical,DCAD,18,15
2013-02-09S,2013-02-09,6134,3,S,Dominical,DCAD,18,15
2013-02-09T,2013-02-09,8171,7,T,Dominical,DCAD,18,15
2013-02-14F,2013-02-14,2015,1,F,Intermedio,DDAB,13,14
2013-02-14S,2013-02-14,6594,9,S,Intermedio,DDAB,13,14
2013-02-14T,2013-02-14,5809,0,T,Intermedio,DDAB,13,14
2013-02-17F,2013-02-17,7255,5,F,Dominical,DDCD,19,9
2013-02-17S,2013-02-17,1729,2,S,Dominical,DDCD,19,9
2013-02-17T,2013-02-17,8980,8,T,Dominical,DDCD,19,9
2013-02-20F,2013-02-20,8403,0,F,Intermedio,BDAC,3,15
2013-02-20S,2013-02-20,5412,1,S,Intermedio,BDAC,3,15
2013-02-20T,2013-02-20,6665,6,T,Intermedio,BDAC,3,15
2013-02-24F,2013-02-24,8661,6,F,Dominical,CBAD,18,13
2013-02-24S,2013-02-24,1948,4,S,Dominical,CBAD,18,13
2013-02-24T,2013-02-24,1284,8,T,Dominical,CBAD,18,13
2013-02-27F,2013-02-27,6624,2,F,Intermedio,BACB,16,8
2013-02-27S,2013-02-27,3043,4,S,Intermedio,BACB,16,8
2013-02-27T,2013-02-27,7826,2,T,Intermedio,BACB,16,8
2013-03-01F,2013-03-01,4589,8,F,Zodiaco,DBDB,04,22
2013-03-01S,2013-03-01,31,3,S,Zodiaco,DBDB,04,22
2013-03-01T,2013-03-01,05,0,T,Zodiaco,DBDB,04,22
2013-03-04F,2013-03-04,3627,2,F,Dominical,CDCC,8,7
2013-03-04S,2013-03-04,9956,5,S,Dominical,CDCC,8,7
2013-03-04T,2013-03-04,5146,4,T,Dominical,CDCC,8,7
2013-03-06F,2013-03-06,7304,0,F,Intermedio,CADD,12,15
2013-03-06S,2013-03-06,4073,7,S,Intermedio,CADD,12,15
2013-03-06T,2013-03-06,5698,9,T,Intermedio,CADD,12,15
2013-03-10F,2013-03-10,7456,5,F,Dominical,BACA,14,10
2013-03-10S,2013-03-10,1280,8,S,Dominical,BACA,14,10
2013-03-10T,2013-03-10,2497,9,T,Dominical,BACA,14,10
2013-03-13F,2013-03-13,7558,5,F,Intermedio,DBBD,4,8
2013-03-13S,2013-03-13,2543,4,S,Intermedio,DBBD,4,8
2013-03-13T,2013-03-13,7478,7,T,Intermedio,DBBD,4,8
2013-03-18F,2013-03-18,939,3,F,Dominical,BCBA,11,15
2013-03-18S,2013-03-18,3723,2,S,Dominical,BCBA,11,15
2013-03-18T,2013-03-18,8433,3,T,Dominical,BCBA,11,15
2013-03-20F,2013-03-20,8002,0,F,Intermedio,DDDA,8,1
2013-03-20S,2013-03-20,4591,9,S,Intermedio,DDDA,8,1
2013-03-20T,2013-03-20,7186,8,T,Intermedio,DDDA,8,1
2013-03-22F,2013-03-22,4602,0,F,Zodiaco,DDBC,1,15
2013-03-22S,2013-03-22,03,0,S,Zodiaco,DDBC,1,15
